peptide_id,cluster_id,cluster_size,aligned_sequence_sha256
seq_pep30,SC003,16,d94c7dd09817c5f92c25bd5573d265d8077621f113ac3dc90afc4877cab6277e
seq_pep31,SC003,16,6783e3ef45952d38525f032f4f36eb7fa32c3f95161b27a00e774ac0b0ca18a3
seq_pep32,SC003,16,9ca09a536a9850dc4263619472127de2f0144b862c6c56c7fd2dd86fd5524cf7
seq_pep33,SC003,16,3172222e19430e656fb2950537067718af1af65e7dd0b31d0de5a962e1436419
seq_pep34,SC003,16,f280f9762ae178ab1ff8ab581560d7b851ebdfd17c258b8fa269b708dcb0bb6a
seq_pep35,SC003,16,a1fada588922b7c1eda5700efd4bd524081f42bd5f372744bfbeaa35b8a377d1
seq_pep36,SC003,16,7d6622fd07ffa043d5bec35ddb8b1371d9b77aa8e2299fa667b3d0bfcfec8387
seq_pep37,SC003,16,100f48311182ad6ba2153c08a2fcdde39af59dd3e29d904397629f6a7799b29c
seq_pep38,SC003,16,f4e170f9b5b814415d9d475c288b39e89bbad27c2d0bdc9884a6c7b3fbc03453
seq_pep39,SC003,16,19aeb67796c1c108ebd9a44ebe6cc8dc1dfe989b196d29c1648d2eca6713e8c0
seq_pep4,SC002,34,3c80c6f59a013f1f5bba12cd12d5717409bc47cac65a9d16621fdd366a3aee72
seq_pep40,SC003,16,c68dfa06313115c248c0345f3612693b87203868dcab0e1692ec4613ce4a29a7
seq_pep41,SC003,16,3663f1a69c67a0badc3bb4834035fb8d49425240d9d8217227f6289afdb512a5
seq_pep42,SC003,16,facf9d0ed1e3a7f82b96e930b13235c0379492af2db5bf105cc8e9670ea3e4d6
seq_pep43,SC003,16,d047e2afabb612e8b6a57e96ff223781a25778a4aa5f73bc64192381a2555aeb
seq_pep44,SC003,16,dd41db267f37a885528450c9fa8f3dff2f34fe4361e86a338580e21e489b6e23
seq_pep45,SC004,12,3b4a896de4bc3861d0824cb0eb8d16fa0b3ae98496111387e83e4a8d0cd262ed
seq_pep46,SC008,2,d42ea094b43e1008c85732533ee026dbb3a2c2f522147cea9f03825ec956c8aa
seq_pep47,SC008,2,4a2cf3ef8790268647f6aa9f689534f6d71675a08494bb60d7287f0de600a5fd
seq_pep48,SC017,1,1b3a4688e631a1c36fb8f3ed30ab883a43aa28d8f4358732ae790637e883d936
seq_pep49,SC009,2,f4965208d581f837e31a900fb586d6c4f80f975b2ac8e95dd1d66e8a898441ad
seq_pep5,SC002,34,d9304114a2eb3639261232c7d098fa0f67f55537318f9555eb04d43fa89ac832
seq_pep50,SC009,2,cc436eb317c36d8f76b70ce8baf4c53ffc79d06f0a07b848c2318802c99115d1
seq_pep51,SC001,40,e67708c7bf9fec978e543cd4f83a5e3fd303675cdabfa533efaec8c79dd42b5e
seq_pep52,SC001,40,ebfbbd841b386f5b65af87f2c7aaada110f7e29184531def1b87cb2bfd5f850c
seq_pep53,SC001,40,4a990bb1cb3172113dcfc5f4e18c2f209c0c15eaeff1cdeeef472f9aec7c3762
seq_pep54,SC001,40,d1902253b653b7e920c3d5e3bf2a6456958ca9257720d57c15a6a232faeaa6ee
seq_pep55,SC001,40,bd74064949d3a9d93085a3c0e0ca0fac3dd059b4d04a27bfc548f1fb1670dfea
seq_pep56,SC001,40,12310d3420e1ebe9d4b7ddd4b43aac981141713e05dc8eb1b05261ef99131077
seq_pep57,SC001,40,616b5dd3f27375866ca2932e82d0aad8b06ea5ddc65c008c438941ab2cac6bc9
seq_pep58,SC001,40,436a03e0775cc1203e29c21dc9b8994d6b2541ee5581b688ac41df436b6b3293
seq_pep59,SC004,12,3d461df77a1203086541d3bc29465c9580fab512a00bdc859c3ce2c6ff6da9e8
seq_pep6,SC002,34,70544a4153c475c5b3f7ed300fd1d01e8d65ffb7645a227477c423d00c88f26c
seq_pep60,SC002,34,1aaf220dac373840402a3cd04155c55074bddc8740a3b4ee1612a687f0b9b43b
seq_pep61,SC002,34,a4919f535329d3fded7d62fcfa5ba2075cc7f7ea5f44b2c13ac2596db472f1ae
seq_pep62,SC002,34,91c6f76f876f36d14b33bf1aa4b2a35ce5d29d2a26d89aa18585284688d02712
seq_pep63,SC002,34,51d4882c7b06703716902d6c3569c4d0cf28ac530aad5302f7b0d12404f8f1aa
seq_pep64,SC002,34,7a478d05fe4054d2e3e06d1a489a81d29eeadbb589c974b4d9ea3e9839b54a43
seq_pep65,SC002,34,d9c3701a26dab8be6ec6012dd1e7b16ff3f9c484ef9813a1a9a34e87ba8ac550
seq_pep66,SC002,34,5f6fd5373baec2072c3f4df90f67c424338ee7975b013391f79caaf6cbed1fbe
seq_pep67,SC002,34,0070fbd87ab65ba422290e81e58e76dbed32fa7b06ed7e2a619d4f64777adf24
seq_pep68,SC002,34,0f49318b28c4e1a5e099b48612b4a106c32944f30beb0e69c9833d83d7c70eee
seq_pep69,SC002,34,3585ac35c36c81148728c4377954d963491f6e94df64cbe630b1d074a80dae59
seq_pep7,SC006,4,9745a035adce49933a3f40ad6afd618bcad4ca1322309dfd59f88b95b17dce31
seq_pep70,SC001,40,1072d145e9b003577e1ac09a618fda3d98c81c88ea3e7d43de07fc0389dcfb35
seq_pep71,SC001,40,830bd9c3450cc28954cd36a21307b3d4cee759e6b71ebe77890f97cc83fdac7f
seq_pep72,SC001,40,f03c8cf82707466b40f35c3efc9fdba3c8539640f1b6ec53befb4e76d43663d8
seq_pep73,SC001,40,683320da516d52448a9cd414d4635628a0f4fe077ee01ad1bebf22962d7dc98f
seq_pep74,SC001,40,27525e41711674304ff996c38a795897578e837f7843e5204bde06d676606ff8
seq_pep75,SC001,40,c33717ffb24c28c16826fa40258e852fc4c900e84b5ab32660670c1e7054ee82
seq_pep76,SC001,40,f244ef0f9b212e7022cf0c66b8aff4e1c941141685bdec7b7cafa99d0bbffc82
seq_pep77,SC001,40,fd76ded9d5b7041965e56686505363b937dea0ea9645073d82e2b316767c9de7
seq_pep78,SC002,34,cbf5d397e5986d22c554416ba65b1ce2e84f0383c9a6ef787d68d0ada95a1485
seq_pep79,SC002,34,b8e50060d05d2d66945410ecc4fced68462aa18a3af07daa5827394c6fe88bb6
seq_pep8,SC001,40,e87cf5f9e6ba3a278b85ea7fa93ac020d7414ab2b52ce13b3d608598dd4f1dc2
seq_pep80,SC002,34,d50c3b08ce1730372e185962503c94ccccdd3018b8e955ffc1d3de03c3ee37b5
seq_pep81,SC002,34,0e1bd65ffd68c5cb8ad859b9d7cdc2e2f610ec53e075ba5bf58eb32348994f46
seq_pep82,SC002,34,295a674d3e2a1a28e9c0b37431792b8f4f3194cd69f4527fbf9be010b19d4468
seq_pep83,SC002,34,e04dc6519f95c5e2135676f5f896a0df5386b4e4e6a7bcc6fb21daa687cf0bbd
seq_pep84,SC002,34,07ec600b1d1b7124679dea02c4e21154710cc4f7ffbfbcc9e8f9689c3e94284e
seq_pep85,SC002,34,76dfe4b661b4f9ee55cbfd04084fb9aefe6b62c478dc5697b9040e9ca35a14c9
seq_pep86,SC002,34,4f9fb97e0fa97e61cde72303295844b338dd9ff054c05e44affe5dfab6d0ba86
seq_pep87,SC002,34,19b865a09eafe60655f98cd428381c153e31198e326d5999288a043ec3891bbf
seq_pep88,SC002,34,d3f867e6a3a5248d1e2ba8c779e4c295f95319c88e8f9d4e797ff9b3785441b6
seq_pep89,SC002,34,060dec5c77ffe344a64c8a0e267638a1680b4b74a5fc626a9beb261fa697ebe6
seq_pep9,SC006,4,d0db95cbea835f8d190c3ebac39316c0016d0ad77c0c4d72d2ff90cfd15a6414
seq_pep90,SC002,34,7c3a4003f2525ea03ad36fb65e160535eed376544ba56b7c6acfb24a7c0cf857
seq_pep91,SC002,34,08e89f5a6d0c5a43fe80a8941b2d132838b6c01cfe8b1cfcc88eb6d8c43622f0
seq_pep92,SC002,34,775a67b2e3ed1a7cf1d10ad47107627f44a96c8ec3e7d97d5513f7d8580bb721
seq_pep93,SC002,34,60ae2e3fdb6ea0e595c3354953bf1477156bd360f4c91571279d457a8bc221b6
seq_pep94,SC002,34,4968d452fc977fe00a576de6fd49fc9602fb4b6e7c670d1722428982e0e9ae6f
seq_pep95,SC002,34,1a7b3e9d3719f91e10dfd9acb8134b2f800dc0d3e9920bbfd8cd9eabfee68aad
seq_pep96,SC001,40,0f8d6c62b515af6f1dadf12b4595a278ec876d503a3b4be89d2c24e4f9f0b9d1
seq_pep97,SC001,40,0d2fed4b872215baeb862a2cce53dd49bc8dbc6b5fcc00347a663d11b29df27f
seq_pep98,SC001,40,7e0164e3336bac2d97b4d0112e318591385b2ac507cdc70c4b774ead80546e28
seq_pep99,SC001,40,890e8531eaf971e9970ef252881036f9dfa9bd6c748354230eb0854fb660d658
