peptide_id,design_group,parent_cluster_id,external_sequence_component_id,linked_component_id,endpoint,observation_status,observation_log10_pm_or_bound,observed_replicates,right_censored_replicates,ridge_prediction,ridge_constraint_absolute_error,nn_prediction,nn_constraint_absolute_error,median_prediction,median_constraint_absolute_error,component_mean_prediction,component_mean_constraint_absolute_error
P11,glp1r_selective,PC004,EC003,LC002,selectivity,lower_bound,2.7834800838887106,3,3,1.9286079027148806,0.85487218117383,4.184239612188258,0.0,2.2397155224055503,0.5437645614831603,1.2588730887230102,1.5246069951657004
P12,glp1r_selective,PC005,EC004,LC003,gcgr,exact,1.9568085108888016,3,0,2.2027183287183347,0.24590981782953314,1.0043213737826426,0.952487137106159,4.184691430817598,2.227882919928797,3.5165467303546323,1.5597382194658307
P12,glp1r_selective,PC005,EC004,LC003,glp1r,exact,0.3082085802911046,3,0,0.04072635164267702,0.2674822286484276,0.02530586526477026,0.28290271502633435,1.944975908412048,1.6367673281209434,2.257673641631622,1.9494650613405176
P12,glp1r_selective,PC005,EC004,LC003,selectivity,exact,1.648599930597697,6,0,2.1619919770756577,0.5133920464779607,0.9790155085178723,0.6695844220798247,2.2397155224055503,0.5911155918078532,1.2588730887230102,0.38972684187468687
P13,glp1r_selective,PC005,EC004,LC003,gcgr,exact,2.787696568289874,3,0,2.1580705792859103,0.6296259890039639,1.0043213737826426,1.7833751945072316,4.184691430817598,1.3969948625277242,3.5165467303546323,0.7288501620647581
P13,glp1r_selective,PC005,EC004,LC003,glp1r,exact,0.7272700771996373,3,0,0.12425061305713658,0.6030194641425007,0.02530586526477026,0.701964211934867,1.944975908412048,1.2177058312124105,2.257673641631622,1.5304035644319849
P13,glp1r_selective,PC005,EC004,LC003,selectivity,exact,2.060426491090237,6,0,2.0338199662287737,0.02660652486146331,0.9790155085178723,1.0814109825723648,2.2397155224055503,0.17928903131531326,1.2588730887230102,0.8015534023672268
P14,glp1r_selective,PC005,EC004,LC003,gcgr,exact,2.2068258760318495,3,0,2.1205833029746084,0.08624257305724115,1.0043213737826426,1.202504502249207,4.184691430817598,1.9778655547857489,3.5165467303546323,1.3097208543227827
P14,glp1r_selective,PC005,EC004,LC003,glp1r,exact,0.3194530784907672,3,0,-0.026320096392269843,0.34577317488303705,0.02530586526477026,0.29414721322599696,1.944975908412048,1.6255228299212807,2.257673641631622,1.938220563140855
P14,glp1r_selective,PC005,EC004,LC003,selectivity,exact,1.8873727975410823,6,0,2.1469033993668782,0.2595306018257959,0.9790155085178723,0.90835728902321,2.2397155224055503,0.35234272486446794,1.2588730887230102,0.6284997088180722
P15,glp1r_selective,PC005,EC004,LC003,gcgr,exact,2.4340363540203143,3,0,2.148831554658621,0.2852047993616931,1.0043213737826426,1.4297149802376716,4.184691430817598,1.7506550767972842,3.5165467303546323,1.082510376334318
P15,glp1r_selective,PC005,EC004,LC003,glp1r,exact,1.2140486794119414,3,0,0.1386312667638423,1.075417412648099,0.02530586526477026,1.1887428141471712,1.944975908412048,0.7309272290001065,2.257673641631622,1.0436249622196807
P15,glp1r_selective,PC005,EC004,LC003,selectivity,exact,1.2199876746083729,6,0,2.010200287894779,0.790212613286406,0.9790155085178723,0.24097216609050054,2.2397155224055503,1.0197278477971774,1.2588730887230102,0.03888541411463731
